nr_2012,latid_noiseUL,longit_noiseUL,latid_noiseUM2,longit_noiseUM2
119,50.48524,31.4458,50.44725,31.39772
120,50.51878,31.47568,50.48244,31.44513
121,50.49842,31.44125,50.43814,31.51645
122,50.51371,31.50323,50.38696,31.56825
123,50.57158,31.464,50.49644,31.4388
124,50.49927,31.51006,50.47269,31.37006
125,50.4933,31.40534,50.50118,31.50692
126,50.53695,31.37008,50.49012,31.48039
127,50.43457,31.47797,50.48171,31.43169
128,50.45659,31.4682,50.45131,31.53671
129,50.5282,31.39453,50.50851,31.48564
130,50.47926,31.40548,50.45574,31.38693
131,50.50708,31.43264,50.44392,31.46149
132,50.51257,31.42776,50.51432,31.39645
133,50.47304,31.42024,50.52272,31.49697
134,50.49501,31.41423,50.44289,31.43844
135,50.44386,31.51607,50.44228,31.45088
136,50.47403,31.43287,50.36121,31.43466
137,50.52452,31.44299,50.36513,31.42049
138,50.4649,31.4271,50.46646,31.47142
139,50.4334,31.43192,50.52694,31.37531
140,50.49627,31.43394,50.45937,31.40264
141,50.49003,31.47856,50.47808,31.41684
142,50.4383,31.54447,50.44755,31.44667
143,50.48549,31.44997,50.51604,31.38606
144,50.43966,31.47027,50.44049,31.41298
145,50.46188,31.45215,50.46753,31.41939
146,50.4527,31.47614,50.49519,31.46112
147,50.52982,31.43471,50.5097,31.28582
148,50.46784,31.46951,50.53928,31.40168
149,50.45251,31.45429,50.53421,31.48682
150,50.47303,31.49626,50.41321,31.46996
151,50.46339,31.42574,50.4784,31.41289
152,50.39902,31.48456,50.4796,31.34629
153,50.56111,31.46682,50.49813,31.45143
154,50.47266,31.45719,50.48445,31.44909
155,50.61191,30.43609,50.56315,30.50054
156,50.5869,30.50995,50.51791,30.4152
157,50.62287,30.4785,50.584,30.48124
158,50.53887,30.52081,50.56543,30.47833
159,50.59618,30.4651,50.65786,30.55596
160,50.56137,30.51439,50.55721,30.48266
161,50.56651,30.48418,50.57256,30.53247
162,50.61127,30.52818,50.51716,30.5448
163,50.58263,30.47301,50.55695,30.44169
164,50.57295,30.52356,50.60191,30.47975
165,50.6049,30.49093,50.6293,30.50333
166,50.50879,30.50138,50.53143,30.53475
167,50.54467,30.41761,50.53828,30.52568
168,50.54065,30.50309,50.5644,30.56038
169,50.43226,30.38638,50.53342,30.41904
170,50.52665,30.28,50.47546,30.43225
171,50.43883,30.4232,50.51373,30.37486
172,50.43948,30.39307,50.51333,30.3025
173,50.4537,30.34119,50.47155,30.41255
174,50.41555,30.37597,50.44853,30.40296
175,50.48142,30.4177,50.46325,30.47148
176,50.40141,30.3855,50.45103,30.36822
177,50.51715,30.3912,50.56403,30.3956
178,50.49327,30.50308,50.40589,30.47002
179,50.48362,30.45408,50.47401,30.39502
180,50.47076,30.40877,50.54494,30.39725
181,50.37833,30.36476,50.4804,30.50221
201,49.39808,31.20219,49.41035,31.24942
202,49.4184,31.2408,49.44377,31.1837
203,49.41022,31.24938,49.37043,31.23174
204,49.41504,31.28599,49.40298,31.2893
205,49.39436,31.21622,49.42612,31.14954
206,49.50359,31.21307,49.40525,31.23343
207,49.42076,31.19994,49.43222,31.24278
208,49.3592,31.23328,49.45924,31.26671
209,49.44515,31.27086,49.31012,31.22954
210,49.36699,31.26709,49.36939,31.27877
211,49.41927,31.1731,49.51551,31.23726
